iso3_r250_label,Year,n_TotalRetention(kg),n_EstimatedRetention(kg),n_Price(usd),n_ServiceValue(usd),p_TotalRetention(kg),p_EstimatedRetention(kg),p_Price(usd),p_ServiceValue(usd),DomesticWaterUseFraction
BFA,2019,1055163512.3852752,484498062.7010675,0.26527369,128524588.89056355,469335653.63233685,215504243.91322014,0.92563915,199479165.15722576,0.4591687042
VIR,2019,396803.2510578666,91446.51152756237,13.399259,1225315.4926042939,164627.1885723453,37939.66419729691,46.755028,1773870.0618552146,0.23045807029999998
ALA,2019,NA,NA,6.349662612,NA,NA,NA,22.15634831,NA,0.23045807029999998
BES,2019,302149.04318905476,69632.68543634091,6.349662612,442144.0592882908,111770.86016509705,25758.496749419406,22.15634831,570714.2259221391,0.23045807029999998
TCA,2019,653215.0991112839,150538.69123200973,11.022423,1659301.1326256024,322324.47106845863,74282.27561290516,38.461361,2856997.4182494413,0.23045807029999998
ATG,2019,435491.2533786845,100362.47388617999,6.553823,657757.8896921459,128985.80471823737,29725.81965145762,22.868742,679792.1003477143,0.23045807029999998
ATF,2019,26808.984325459518,6178.346794348347,6.349662612,39230.41764404376,11951.330682098866,2754.280606513687,22.15634831,61024.8004613953,0.23045807029999998
GRL,2019,0.0,0.0,18.489212,0.0,0.0,0.0,64.51577,0.0,0.23045807029999998
BMU,2019,NA,NA,40.162197,NA,NA,NA,140.14091,NA,0.23045807029999998
PSE,2019,27129078.041327007,6252114.974422325,1.2683071,7929601.812076153,9830039.434463851,2265411.919039442,4.4255981,10025802.68461831,0.23045807029999998
TCD,2019,3059864226.0317655,360741155.34624135,0.30983555,111770434.27433814,667959046.4220018,78748696.12850107,1.0811322,85137751.09253785,0.11789449749999999
JPN,2019,1174121946.9312034,212918627.14878485,14.017455,2984577274.71987,653642538.7676023,118533404.78320773,48.912151,5797723793.300379,0.181342856
BEL,2019,14319103.079679426,2609484.2860529884,16.202702,42280696.26059932,6132722.554212615,1117614.9125325554,56.537277,63186903.88918386,0.1822379706
TKM,2019,2371220654.6826787,59945099.61298963,2.3057346,138217490.2781168,301470092.53668195,7621245.493016753,8.0455723,61317281.630115435,0.025280270520000002
UGA,2019,688071381.2504176,354297351.74715084,0.28515324,101029037.77411972,319370476.83909917,164448220.42255074,0.99500638,163627028.50008428,0.5149136578
ATA,2019,NA,NA,6.349662612,NA,NA,NA,22.15634831,NA,0.23045807029999998
MDG,2019,433501851.9345514,12630706.984556796,0.17335199,2189558.19087982,266087025.91341573,7752832.523566559,0.60488993,4689610.3224818995,0.029136454500000002
TKL,2019,NA,NA,6.349662612,NA,NA,NA,22.15634831,NA,0.23045807029999998
ZAF,2019,1278800385.42002,246708834.22431314,2.2660832,559062744.5273011,395786459.3750541,76355948.20540896,7.9072137,603762799.7263001,0.1929220831
IND,2019,15009565665.385674,1104514687.601708,0.70802784,782027148.5109121,6707875901.962316,493615046.6640806,2.4705741,1219512549.6585689,0.07358738501999999
GRD,2019,274054.6233504429,63158.09965413639,3.6288071,229188.5604474377,177285.0529074669,40856.77118608822,12.662267,517339.3455161557,0.23045807029999998
BEN,2019,304385655.7077803,190154248.86622432,0.39220238,74578948.97244549,145617379.7080633,90969344.123225,1.368541,124495277.17574248,0.6247148816
GRC,2019,675621446.2221909,109709198.60484107,6.7060757,735718190.8303987,274739557.29106826,44612936.46610995,23.400009,1043943114.823401,0.1623826467
MDA,2019,293540938.4301068,67648878.22465353,1.5279006,103360761.62877506,139287060.0862551,32099827.0852385,5.3314166,171137550.97937015,0.23045807029999998
MLT,2019,1587545.3473731205,365862.6372693525,11.244882,4114082.1843026713,558299.9566558013,128664.7306594696,39.237602,5048495.493053466,0.23045807029999998
SYR,2019,636345080.183598,146650859.22401077,0.38482106,56434339.0964946,164782698.5373593,37975502.723746456,1.3427848,50992927.82980534,0.23045807029999998
MTQ,2019,1431389.2554624267,329875.20566202456,6.349662612,2094596.2600179682,866755.3801841587,199750.77233938404,22.15634831,4425747.687142906,0.23045807029999998
PRY,2019,909040160.1491356,136374860.3344328,2.018959,275335251.64594615,392967472.9388659,58953263.6591334,7.0449038,415320071.17463076,0.1500207211
WSM,2019,NA,NA,1.509383,NA,NA,NA,5.2668018,NA,0.23045807029999998
CZE,2019,360356053.0984092,146506550.38681853,8.3456631,1222694311.4715621,152074888.55310342,61827648.323949896,29.121143,1800491788.1954553,0.4065605368
MLI,2019,2806615622.028655,57907418.34853344,0.33710071,19520631.83955765,658727183.7763896,13591170.2012543,1.1762706,15986893.927331518,0.020632472040000002
NFK,2019,NA,NA,6.349662612,NA,NA,NA,22.15634831,NA,0.23045807029999998
COM,2019,1859564.612113176,428551.6721057705,0.52692562,225814.85552636982,897507.2053214363,206837.77861872409,1.8386408,380300.37874975376,0.23045807029999998
COL,2019,2261839928.085334,332555747.71215653,2.2448704,746544554.3888879,1114077710.2138834,163801576.46401203,7.8331943,1283089575.0889132,0.14702886069999999
